Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
Epsilon,Na'Vi,Unavailable,Unavailable,Unavailable,CS: GO,Best of 3,34%,66%,CSGOL,1018
Infused,Rasta,Unavailable,Unavailable,Infused,CS: GO,Best of 3,88%,12%,CSGOL,1019
NetCode,SKDC,Unavailable,Unavailable,SKDC,CS: GO,Best of 1,79%,21%,CSGOL,1020
VEXX,HL,Unavailable,Unavailable,VEXX,CS: GO,Best of 1,29%,71%,CSGOL,1021
HL,Savage,Unavailable,Unavailable,HL,CS: GO,Best of 1,59%,41%,CSGOL,1022
A51,HL,Unavailable,Unavailable,A51,CS: GO,Best of 1,63%,37%,CSGOL,1023
NetCode,Lunatik,Unavailable,Unavailable,Lunatik,CS: GO,Best of 1,32%,68%,CSGOL,1024
97club,Aces,Unavailable,Unavailable,97club,CS: GO,Best of 3,52%,48%,CSGOL,1025
NetCode,IBP,Unavailable,Unavailable,IBP,CS: GO,Best of 1,11%,89%,CSGOL,1026
coL,MWNL,Unavailable,Unavailable,coL,CS: GO,Best of 1,89%,11%,CSGOL,1027
Exertus,VEXX,Unavailable,Unavailable,Exertus,CS: GO,Best of 1,73%,27%,CSGOL,1028
Reliable,SKDC,Unavailable,Unavailable,SKDC,CS: GO,Best of 1,32%,68%,CSGOL,1029
Fnatic,Epsilon,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,54%,46%,CSGOL,1030
VP,Fnatic,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,52%,48%,CSGOL,1031
Epsilon,VP,Unavailable,Unavailable,Epsilon,CS: GO,Best of 1,21%,79%,CSGOL,1032
A51,Exertus,Unavailable,Unavailable,A51,CS: GO,Best of 1,19%,81%,CSGOL,1033
Na'Vi,USSR,Unavailable,Unavailable,Na'Vi,CS: GO,Best of 3,91%,9%,CSGOL,1034
LC,K1CK,Unavailable,Unavailable,LC,CS: GO,Best of 3,40%,60%,CSGOL,1035
MTW,Epsilon,Unavailable,Unavailable,Epsilon,CS: GO,Best of 3,11%,89%,CSGOL,1036
ESG!,dAT,Unavailable,Unavailable,dAT,CS: GO,Best of 3,78%,22%,CSGOL,1037
Na'Vi,LC,Unavailable,Unavailable,LC,CS: GO,Best of 3,88%,12%,CSGOL,1038
Epsilon,CPH.W,Unavailable,Unavailable,Epsilon,CS: GO,Best of 3,64%,36%,CSGOL,1039
Titan,ENCORE,Unavailable,Unavailable,Titan,CS: GO,Best of 3,77%,23%,CSGOL,1040
K1CK,ENCORE,Unavailable,Unavailable,ENCORE,CS: GO,Best of 3,67%,33%,CSGOL,1041
mouz,CPH.W,Unavailable,Unavailable,CPH.W,CS: GO,Best of 3,30%,70%,CSGOL,1042
ENCORE,CPH.W,Unavailable,Unavailable,CPH.W,CS: GO,Best of 3,27%,73%,CSGOL,1043
Reliable,MJ,Unavailable,Unavailable,Reliable,CS: GO,Best of 1,45%,55%,CSGOL,1044
NetCode,Savage,Unavailable,Unavailable,Savage,CS: GO,Best of 1,73%,27%,CSGOL,1045
IBP,Savage,Unavailable,Unavailable,IBP,CS: GO,Best of 1,87%,13%,CSGOL,1046
Na'Vi,Berzerk,Unavailable,Unavailable,Na'Vi,CS: GO,Best of 1,85%,15%,CSGOL,1047
