Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
ESC,OnBots,mirage,16:3 (12:3) (4:0),ESC,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17510
OverGaming,Berzerk,nuke,10:16 (8:7) (2:9),Berzerk,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17511
Epsilon,ESC,mirage,12:16 (7:8) (5:8),ESC,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17512
Flipsid3,dAT,mirage,12:16 (10:5) (2:11),dAT,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17513
ESG!,OverGaming,mirage,15:15 (11:4) (4:11),Tie,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17514
AliGon,MTW,mirage,13:16 (10:5) (3:11),MTW,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17515
LDLC,mousesports,mirage,8:16 (4:11) (4:5),mousesports,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17516
fnatic,OnBots,dust2,16:1 (14:1) (2:0),fnatic,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17517
OverGaming,Epsilon,inferno,12:16 (10:5) (2:11),Epsilon,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17518
ESG!,fnatic,mirage,9:16 (7:8) (2:8),fnatic,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17519
Berzerk,OnBots,inferno,16:10 (15:0) (1:10),Berzerk,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17520
Berzerk,Nostalgie,dust2,16:14 (11:4) (5:10),Berzerk,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17521
OverGaming,ESC,mirage,15:15 (6:9) (9:6),Tie,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17522
Wolf,NiP,dust2,7:16 (4:11) (3:5),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17523
Epsilon,HellRaisers,inferno,16:1 (14:1) (2:0),Epsilon,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,17524
