Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
weTake,Ruins,tuscan,6:24 (5:10) (1:14),Ruins,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3590
NPU,coL.us,inferno,2:28 (1:14) (1:14),coL.us,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3591
Lions,VG,inferno,23:7 (12:3) (11:4),Lions,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3592
Evil Geniuses,B@M,inferno,25:5 (12:3) (13:2),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3593
Evil Geniuses,weTake,inferno,26:4 (14:1) (12:3),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3594
B@M,Ruins,dust2,7:23 (3:12) (4:11),Ruins,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3595
Lions,coL.us,inferno,11:19 (7:8) (4:11),coL.us,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3596
VG,NPU,train,15:15 (12:3) (3:12),Tie,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3597
NPU,Lions,nuke,3:27 (2:13) (1:14),Lions,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3598
VG,coL.us,tuscan,9:21 (4:11) (5:10),coL.us,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3599
B@M,weTake,tuscan,17:13 (11:4) (6:9),B@M,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3600
Ruins,Evil Geniuses,dust2,11:16 (9:6) (2:10),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3601
Evil Geniuses,Area51,train,28:2 (14:1) (14:1),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3602
Ruins,SK Gaming,dust2,9:21 (7:8) (2:13),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3603
Lions,mTw,nuke,10:20 (6:9) (4:11),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3604
iDemise,mousesports,inferno,10:20 (4:11) (6:9),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3605
Ruins,mTw,tuscan,8:22 (3:12) (5:10),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3606
iDemise,Area51,nuke,25:5 (13:2) (12:3),iDemise,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3607
SK Gaming,Lions,nuke,19:11 (6:9) (13:2),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3608
Evil Geniuses,mousesports,inferno,18:12 (9:6) (9:6),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3609
Lions,Ruins,dust2,14:16 (4:11) (10:5),Ruins,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3610
SK Gaming,mTw,train,14:16 (9:6) (5:10),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3611
Evil Geniuses,iDemise,inferno,11:19 (7:8) (4:11),iDemise,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3612
Area51,mousesports,dust2,11:19 (4:11) (7:8),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3613
TAU,Na`Vi,tuscan,5:25 (4:11) (1:14),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3614
Underestimated,Loaded,inferno,17:13 (8:7) (9:6),Underestimated,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3615
Hausen,Lions,inferno,9:21 (6:9) (3:12),Lions,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3616
BURNING!,coL.us,inferno,15:15 (7:8) (8:7),Tie,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3617
Underestimated,Hausen,train,24:6 (12:3) (12:3),Underestimated,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3618
BURNING!,Na`Vi,dust2,17:13 (11:4) (6:9),BURNING!,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3619
coL.us,TAU,train,23:7 (12:3) (11:4),coL.us,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3620
Loaded,Lions,dust2,15:15 (6:9) (9:6),Tie,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3621
TAU,BURNING!,nuke,8:22 (6:9) (2:13),BURNING!,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3622
Loaded,Hausen,tuscan,17:13 (3:12) (14:1),Loaded,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3623
Lions,Underestimated,train,21:9 (11:4) (10:5),Lions,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3624
Na`Vi,coL.us,dust2,19:11 (11:4) (8:7),Na`Vi,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3625
Underestimated,mousesports,dust2,1:16 (1:14) (0:2),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3626
Underestimated,mousesports,nuke,6:16 (6:9) (0:7),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3627
Evil Geniuses,BURNING!,inferno,16:5 (12:3) (4:2),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3628
BURNING!,Evil Geniuses,nuke,4:16 (4:11) (0:5),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3629
Lions,SK Gaming,inferno,2:16 (2:13) (0:3),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3630
SK Gaming,Lions,train,14:16 (8:7) (6:9),Lions,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3631
