Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
fnatic,Gravitas,train,18:12 (9:6) (9:6),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11588
FD,zEx,dust2,9:21 (6:9) (3:12),zEx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11589
fnatic,FD,inferno,16:8 (9:6) (7:2),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11590
zEx,Gravitas,dust2,10:20 (6:9) (4:11),Gravitas,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11591
Power Gaming,mTw,train,18:12 (11:4) (7:8),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11592
vio,x3o,inferno,6:24 (2:13) (4:11),x3o,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11593
mTw,vio,train,21:9 (11:4) (10:5),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11594
Power Gaming,x3o,nuke,27:3 (15:0) (12:3),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11595
x3o,mTw,dust2,16:9 (8:7) (8:2),x3o,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11596
SK Gaming,Evil Geniuses,train,21:9 (8:7) (13:2),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11597
Evil Geniuses,50 Calibre,nuke,22:8 (11:4) (11:4),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11598
rS,50 Calibre,nuke,20:10 (12:3) (8:7),rS,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11599
50 Calibre,SK Gaming,train,5:16 (4:11) (1:5),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11600
rS,SK Gaming,dust2,7:23 (2:13) (5:10),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11601
Evil Geniuses,rS,nuke,16:5 (10:5) (6:0),Evil Geniuses,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11602
x3o,mibr,inferno,9:16 (3:12) (6:4),mibr,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11603
